Mixture	MEL01	MEL02	MEL03	MEL04	MEL05	MEL06	MEL07	MEL08	MEL09	MEL10	MEL11	MEL12	MEL13	MEL14	MEL15	MEL16	MEL17	MEL18	MEL19	MEL20	MEL21
naive_B_cells	0	9.74682607553474e-19	0	1.42470854425946e-18	0.00926743240130604	2.63810971130975e-18	4.19586621257876e-19	1.79439478270512e-19	0	1.56883523550188e-18	0	6.05841789877858e-18	2.20473030179547e-19	0.00470346987669804	0	0	4.14980586555519e-19	3.95071374403968e-18	5.05333769797166e-18	0	0
Neurons	0.000387494812844417	0.00397809969321325	0.00415077806892474	0.00154729008969426	0	0.00329887416263216	0.00335083211517806	0.00422292656093597	0.00793185710106314	0.00174723135736924	0	0.00269828334852469	0.000418932943601926	0	1.37380866902957e-19	0.00578356961124108	0.00145078110949248	0.00106973859195751	0	0.000692950480558586	0.00211289341745309
Neutrophils	0.000494013553410326	0	1.61091547257046e-19	0	0	0	1.8695293179985e-19	1.11052443834754e-18	5.63681224075989e-19	0	0	2.34663751635494e-18	0	0.00113822534790777	1.67661896782817e-20	0	1.02959543872695e-18	7.7595793225752e-19	0.00104127140800393	0	3.74184624893727e-18
NK_cells	2.73904375880735e-17	3.85189816551555e-19	0	1.06773988035844e-17	2.30479873024557e-17	0	9.15520934768329e-20	8.1118795609211e-19	1.00231501798166e-17	6.60292644261286e-19	0	6.84798635974877e-19	1.94627585733366e-17	8.29492225148624e-18	1.16123003873003e-17	7.43372705717825e-19	0	8.00494593136182e-19	5.57353371934413e-18	0	2.8402714122738e-17
NKT	0.0550660341699036	0.0644744564377908	0.0550053892630245	0	0	0.0649800009020093	0.120633538636932	0.101165208724786	0.143270660409444	0.058638606436386	0.0969141213758557	0.108230984279338	0.0241614201131269	0.0213865526566685	2.28304505272439e-17	0.0705256243883135	0.0660958234013484	0.16069742836172	0.0364448924239847	0.119384628990267	0
Osteoblast	0.00127364501676695	0	0	0	6.86317003268963e-18	0	4.79412439324151e-18	0	0.0180352287039829	5.97503296714412e-18	0.0237495123227726	3.40608989189119e-18	1.66829602797518e-19	0	4.76188431496805e-18	0	0	0.0078157460483333	2.82063606320441e-18	0	0
pDC	4.50002029805625e-18	0	0.00481029633863584	7.057682509363e-05	0	0.000371399633768692	0	0	1.05221996885422e-18	4.2267852339945e-19	7.21747686355842e-21	3.46111786513328e-19	2.62859117697803e-19	0	0	0	0	0	0.00410128576495355	2.5209454853521e-18	1.83456978620855e-18
Pericytes	0.0918220705484389	0.0634876543307432	0.0415336345721027	0	0.046501891668637	0.0772428512878099	0.0459630391316647	0.0896120983389688	0.0362902436788482	0.0787618322015823	0.033634522092462	7.05182704618535e-18	1.27343511521798e-17	0	0	0.0545091647258625	1.03824724322583e-18	0.0571686312205263	1.40420598318556e-17	0.0172435827211318	0
Plasma_cells	0.00737654455636319	0.00379642383997086	0.00286910537926572	0.00655604280317425	0.0207070528492075	0.00654577713683234	0.0033508539685626	0.00475273281746444	0.00122449109332843	3.48177873537571e-05	0	0.0115575600998343	0	0	0.0111962458238779	9.47414467394227e-19	0.000910977154815661	0.00460137637221673	0	0.00691420630874555	0.0061328329690905
Platelets	0	0	2.73384656051004e-18	7.65667119051868e-19	0	0	0	0	1.37408975384322e-18	6.18216512869452e-18	2.43150342038388e-18	0	1.58120620750838e-20	0.00676065971424384	0.0431126599122796	8.65293883611177e-19	3.99990752788839e-19	1.29115844171669e-18	0	0	1.36813926901897e-18
Preadipocytes	0.0251644267558419	0.00831384194677109	1.16999534076876e-17	9.02167801194323e-05	0	0	2.30594126641085e-18	0.000221662454947834	0	0.0256453096382324	0.0425121588207794	2.66588198535841e-18	0.0301481126100481	0.00756263352093666	0.0697399434556081	0	0	6.97502575522341e-20	9.74521155875518e-19	0	0.0991175046668406
pro_B_cells	0.0161490989342882	0.0273078564077819	0.0583764480761904	0.0262059900124692	0.0266883463264917	0.0558631756183105	0.019493056919876	0.0342270207055326	0.015586505346831	0.0284208363989948	0.0117083758700855	0.02046022324497	0	0.00957377357091664	0	0.046277361145576	0.0390913095294626	0.0469859040836416	0.0148364014369413	0.00144896781435571	0.0247895388668513
Sebocytes	0	0	0	0	6.08732348157602e-20	0	0.000531920118470897	0.0027955958527229	0.000892457878464495	0.000599112533961846	4.42544074604999e-19	0	0	0	0	0	0	0.000469883261665844	4.21468644948197e-19	5.45329754715352e-20	4.40890686256255e-20
Skeletal_muscle	0	0.0140960748850958	0.0168736958576872	0.00151979321140063	0.0140574261075153	0.0189533569176808	0.0320784591407506	0.0323565518409233	0.0247984432880257	0.0259707034188469	0	0.0115016430948321	0.00459580231400566	1.92448925962413e-18	1.49832185010255e-17	0.0282564272281394	0.045689439915828	0.0367170870059618	0.0108624472096633	0.0195366764231404	0.0160075572234129
Smooth_muscle	0.251506116203102	0.105979766871194	1.72811364272839e-17	0.244512751285858	0.142778994998038	0	0	0	0.0116526871777921	0.0737211229427242	0.290158399160805	0.13256577901904	0.344782142406774	0.392054444120576	0.489156454913788	2.21533469702052e-17	0.0189580014757433	0.0470643060370157	0.273048529073244	0.226697669819988	0.0834515795912243
Tgd_cells	0	4.94347359237885e-18	3.84269400785531e-18	6.85324162315379e-19	6.26107474911586e-18	4.01514169759331e-18	0	5.61793731136675e-18	0	4.67855692188587e-19	0	0	2.63723779760573e-18	1.1038794806233e-18	1.05323963267364e-18	6.36045479600041e-18	0	0	5.96460589121666e-19	1.09133738351959e-17	1.0117608041721e-18
Th1_cells	0.000561719528384914	6.18739284078043e-21	0	7.50573796097461e-21	0	0	0	0	0.0106641765859342	0.00288983339299873	9.650399266644e-19	0.00432776351234107	0	5.41225533287332e-18	1.0347399550165e-17	0	0.0133860647944841	0.00493707705408004	0	0.0442667211905338	5.80693863239628e-19
Th2_cells	0.000467735709534937	0.0422053794470385	0	6.03700643668727e-19	0.0383403695399036	2.28729696838548e-18	6.7436618549957e-19	0	0	0.0281237949036258	0.0428609403290612	0.0139090406852192	0.0117346371988253	0.0898463506948063	0.0784539244545559	1.46118722107261e-18	0	0	0	0	0.0237853088803443
Tregs	1.97085379520549e-18	0	2.22258650015294e-18	0.0224182940782803	1.0042186417065e-19	1.03286895585169e-18	0	0	0	0	0	0	0.0319476926241851	0.040974846033497	0.066166066076584	0	0	7.69553577932267e-19	0.0243234538756048	0	0.0201572352701128
