genename	species	cancername	sample	method
MAGEA3	Homo sapiens (human)	colorectal cancer	Sera from 76 preoperative colorectal cancer patients, 76 age- and sex-matched healthy subjects, and 20 colorectal adenoma patients without colorectal cancer	qPCR,etc.
GADD45A 	Homo sapiens (human)	liver cancer	Human hepatocellular carcinoma cells (Hep3B) and SMMC-7721 cells (7721)	RT-qPCR,etc.
NEK2	Homo sapiens (human)	lung cancer	Human LUAD cell lines H1650, HCC827, A549, H1975, and PC9, and normal bronchial epithelial cell line BEAS-2B	RT-qPCR,Western blot,Luciferase,etc.
PTEN	Homo sapiens (human)	gastric cancer	The GC cell lines NCI-N87, HGC-27, AGS (Cell Bank of China Center for Type Culture Collection, Shanghai, China), MKN45 and normal gastric mucosal epithelial cell line GES-1 	RT-qPCR,Western blot,Luciferase,etc.
PD-L1	Homo sapiens (human)	lung cancer	Blood sample	etc.
PD-L1	Homo sapiens (human)	Malignant Melanoma	Blood sample	etc.
hnRNPH	Homo sapiens (human)	liver cancer	serum AFP	RT-qPCR,etc.
MT1-MMP	Homo sapiens (human)	gastric cancer	blood	RT-qPCR,western blot,etc.
ETV1	Homo sapiens (human)	prostate cancer	cell line LNCaP and PC-3 	Western blot,RT-qPCR,etc.
FASN	Homo sapiens (human)	prostate cancer	cell line LNCaP and PC-3 	Western blot,RT-qPCR,etc.
RBM39	Homo sapiens (human)	prostate cancer	cell line LNCaP and PC-3 	Western blot,RT-qPCR,etc.
CCND2	Homo sapiens (human)	prostate cancer	cell line LNCaP and PC-3 	Western blot,RT-qPCR,etc.
ERG	Homo sapiens (human)	prostate cancer	cell line LNCaP and PC-3 	Western blot,RT-qPCR,etc.
GNRH1	Homo sapiens (human)	prostate cancer	cell line LNCaP and PC-3 	Western blot,RT-qPCR,etc.
HAL	Homo sapiens (human)	prostate cancer	cell line LNCaP and PC-3 	Western blot,RT-qPCR,etc.
LGALS4	Homo sapiens (human)	prostate cancer	cell line LNCaP and PC-3 	Western blot,RT-qPCR,etc.
CDK	Homo sapiens (human)	pituitary adenoma	blood	etc.
RHOU	Homo sapiens (human)	pituitary adenoma	blood	etc.
MET	Homo sapiens (human)	lung cancer	The human NSCLC cell line HCC827	Western blot,RT-qPCR,etc.
mRNA 126	Homo sapiens (human)	colorectal cancer	NA	NA
PTRF/Cavin1	Homo sapiens (human)	glioblastoma	The human glioma cell lines LN229, U87 and U251 	RT-qPCR,Western blot,ChIP,etc.
VEGF-A	Homo sapiens (human)	glioblastoma	Immortalized human brain micro vascular endothelial cells	RT-qPCR,etc.
Wnt3a	Homo sapiens (human)	gastric cancer	44As3, 58As9 and HSC-59	RT-qPCR,etc.
MMP1	Homo sapiens (human)	ovarian cancer	Human ovarian cancer cell lines (ES-2 and SKOV3) and a normalhuman mesothelial cell	RT-qPCR,Microarray,etc.
EGFR 	Homo sapiens (human)	gastric cancer	Human GC liver metastatic focuses and paired adjacentnon-cancerous tissues;SGC7901 (human gastric adenocarcinoma cell)	RT-qPCR,Luciferase assay,Western blot,etc.
PD-L1	Homo sapiens (human)	head and neck squamous cell carcinomas	plasma	Western blot,etc.
miR-21 	Homo sapiens (human)	laryngeal cancer	patients who had CRP levels[0.3 mg/dl.At last,52patients of LSCC and 49 patients of vocal cord polyps withCRPB0.3 ml/dl 	etc.
microRNA-217	Homo sapiens (human)	colorectal cancer	The normal human colon mucosal epithelial cell line,NCM460 and human colorectal cancer cell lines (HT-29,SW480,HCT-116,SW620,LoVo,SW48,DLD-1,Caco2 and HT-15)	Western blot,RT-qPCR,etc.
miRNA-141-3p	Homo sapiens (human)	prostate cancer	Liquid biopsies contain a variety of clinically informative components. Blood samples can be analyzed for circulating tumor cells (CTCs),tumor educated platelets ,exosomes and cell-free nucleic acids 	etc.
miRNA-375	Homo sapiens (human)	prostate cancer	Liquid biopsies contain a variety of clinically informative components. Blood samples can be analyzed for circulating tumor cells (CTCs),tumor educated platelets ,exosomes and cell-free nucleic acids 	etc.
miR-146b-5p	Homo sapiens (human)	ovarian cancer	Blood samples from 5 healthy controls and 5 pre-therapy EOC patients	Luciferase,RT-qPCR,Western blot,etc.
mircoRNA-221	Homo sapiens (human)	colorectal cancer	CRC tissues	RT-qPCR,etc.
miR-374a-5p	Homo sapiens (human)	liver cancer	Human hepatocellular carcinoma cells (Hep3B) and SMMC-7721 cells (7721)	RT-qPCR,etc.
miR-486-5p	Homo sapiens (human)	lung cancer	Human LUAD cell lines H1650,HCC827,A549,H1975,and PC9,and normal bronchial epithelial cell line BEAS-2B	RT-qPCR,Western blot,Luciferase,etc.
miR-27a-5p	Homo sapiens (human)	breast cancer	Human breast cancer cell lines [MCF‐7 (HTB‐22) and MDA‐MB‐231 (HTB‐26)] 	RT-qPCR,Luciferase,etc.
miR-1226-3p	Homo sapiens (human)	breast cancer	Human breast cancer cell lines [MCF‐7 (HTB‐22) and MDA‐MB‐231 (HTB‐26)] 	RT-qPCR,Luciferase,etc.
miR-19a-3p	Homo sapiens (human)	breast cancer	Human breast cancer cell lines [MCF‐7 (HTB‐22) and MDA‐MB‐231 (HTB‐26)] 	RT-qPCR,Luciferase,etc.
miR-19b-3p	Homo sapiens (human)	breast cancer	Human breast cancer cell lines [MCF‐7 (HTB‐22) and MDA‐MB‐231 (HTB‐26)] 	RT-qPCR,Luciferase,etc.
miR-455-5p	Homo sapiens (human)	breast cancer	exosomal samples from human BCcells (MCF7,MDA-MB-231) and normal mammary epithelial cell line (MCF10,MCF-10A)	etc.
miR-1255a	Homo sapiens (human)	breast cancer	exosomal samples from human BCcells (MCF7,MDA-MB-231) and normal mammary epithelial cell line (MCF10,MCF-10A)	etc.
miR-15b-3p	Homo sapiens (human)	gastric cancer	Three GC cell lines: normal GES-1 gastric mucosa epithelium cell line; moderately differentiated adenocarcinoma SGC-7901 cell line and the poorly differentiated adenocarcinoma BGC-823 cell line	RT-qPCR,Luciferase,Western blot,etc.
microRNA-23a	Homo sapiens (human)	gastric cancer	The GC cell lines NCI-N87,HGC-27,AGS (Cell Bank of China Center for Type Culture Collection,Shanghai,China),MKN45 and normal gastric mucosal epithelial cell line GES-1 	RT-qPCR,Western blot,Luciferase,etc.
MiR-4435	Homo sapiens (human)	colorectal cancer	Control (HEK293,human normal kidney cells) and mutant UQCRB-expressing cell lines,MT1 and MT2 in HEK293 cells;HCT116 (human colon cancer cells)	RT-qPCR,Western blot,Luciferase,etc.
MicroRNA-4461	Homo sapiens (human)	colorectal cancer	colorectal cancer cell lines DLD1,HCT116 andSW480	RT-qPCR,Luciferase,Western blot,etc.
miR-26a/26b	Homo sapiens (human)	colorectal cancer	Human CRC cell lines LoVo,HCT-8,SW620,andSW48	RT-qPCR,Luciferase,RIP,Western blot,etc.
miRNA-21 	Homo sapiens (human)	liver cancer	5 liver transplantation,24 radiofrequency ablation,9 chemoembolization,17 systemic therapy (sorafenib),and 14 received best supportive care. 	etc.
miR-494	Homo sapiens (human)	Malignant Melanoma	Humanprimary melanocyte (HEMa‐LP) and human melanoma cell linesWM35,A375,and WM451	RT-qPCR,Western blot,etc.
miR-1246	Homo sapiens (human)	pancreatic cancer	22 benign pancreatic tumor and 12 patients with non‐PaCa and 30 volunteers	RT-qPCR,Microarray,etc.
miR-4464	Homo sapiens (human)	pancreatic cancer	22 benign pancreatic tumor and 12 patients with non‐PaCa and 30 volunteers	RT-qPCR,Microarray,etc.
miR-3976	Homo sapiens (human)	pancreatic cancer	22 benign pancreatic tumor and 12 patients with non‐PaCa and 30 volunteers	RT-qPCR,Microarray,etc.
miR-4306	Homo sapiens (human)	pancreatic cancer	22 benign pancreatic tumor and 12 patients with non‐PaCa and 30 volunteers	RT-qPCR,Microarray,etc.
miR-181-5p	Homo sapiens (human)	lung cancer	There were 26 (16 with adenocarcinoma and 10 with squamous cell carcinoma) and 20 (10 with adenocarcinoma and 10 with squamous cell carcinoma) stage I NSCLC patients	etc.
miR-30a-3p	Homo sapiens (human)	lung cancer	There were 26 (16 with adenocarcinoma and 10 with squamous cell carcinoma) and 20 (10 with adenocarcinoma and 10 with squamous cell carcinoma) stage I NSCLC patients	etc.
miR-30e-3p	Homo sapiens (human)	lung cancer	There were 26 (16 with adenocarcinoma and 10 with squamous cell carcinoma) and 20 (10 with adenocarcinoma and 10 with squamous cell carcinoma) stage I NSCLC patients	etc.
miR-361-5p	Homo sapiens (human)	lung cancer	There were 26 (16 with adenocarcinoma and 10 with squamous cell carcinoma) and 20 (10 with adenocarcinoma and 10 with squamous cell carcinoma) stage I NSCLC patients	etc.
miR-375	Homo sapiens (human)	prostate cancer	The human prostate,non-cancer,epithelial cell line,RWPE-1,and the human prostate cancer epithelial cell lines,DU145and PC-3	etc.
miR-574-3p	Homo sapiens (human)	prostate cancer	The human prostate,non-cancer,epithelial cell line,RWPE-1,and the human prostate cancer epithelial cell lines,DU145and PC-3	etc.
miR-193a-3p	Homo sapiens (human)	lung cancer	NSCLC cell lines including H358,A549,H460	Microarray,etc.
miR-210-3p	Homo sapiens (human)	lung cancer	NSCLC cell lines including H358,A549,H460	Microarray,etc.
miR-5100	Homo sapiens (human)	lung cancer	NSCLC cell lines including H358,A549,H460	Microarray,etc.
miR-21	Homo sapiens (human)	gastric cancer	The gastric cancer cell line MFC,MGC-80	Microarray,RT-qPCR,Western blot,etc.
miR-99a-5p	Homo sapiens (human)	diffuse large b-cell lymphoma	The human DLBCL cell line SU-DHL-2	Western blot,RNA-seq,RT-qPCR,etc.
miR-125b-5p	Homo sapiens (human)	diffuse large b-cell lymphoma	The human DLBCL cell line SU-DHL-2	Western blot,RNA-seq,RT-qPCR,etc.
miRNA-320d	Homo sapiens (human)	colorectal cancer	Serum exosomes were isolated from patients with metastatic CRC (n = 34) and non‐metastatic CRC (n = 108) 	Western blot,RT-qPCR,etc.
miR-7641	Homo sapiens (human)	colorectal cancer	Human CRC cell lines SW480(CCL-228) and SW620(CCL-227)	Western blot,RT-qPCR,etc.
miR-200b	Homo sapiens (human)	colorectal cancer	Two human colorectal cancer lines(HCT-116,SW480)	RT-qPCR,Western blot,Luciferase assay,etc.
miR-1290	Homo sapiens (human)	gastric cancer	Human GC celllines SGC7901,AGS,and BGC823,and normal gastric epithelial cellline GES	Luciferase assay,Western blot,etc.
miR-451a	Homo sapiens (human)	liver cancer	The human HCC cell lines Hep3B and HepG2	qPT-PCR,Western blot,Luciferase assay,etc.
miR-21-5p	Homo sapiens (human)	colorectal cancer	Human CRC cell lines (HCT116,SW480,and HCT-8) 	RT-qPCR,Western blot,etc.
miR-1246	Homo sapiens (human)	colorectal cancer	Human CRC cell lines (HCT116,SW480,and HCT-8) 	RT-qPCR,Western blot,etc.
miR-1229-5p 	Homo sapiens (human)	colorectal cancer	Human CRC cell lines (HCT116,SW480,and HCT-8) 	RT-qPCR,Western blot,etc.
miR-96-5p	Homo sapiens (human)	colorectal cancer	Human CRC cell lines (HCT116,SW480,and HCT-8) 	RT-qPCR,Western blot,etc.
miR-21	Homo sapiens (human)	oral squamous cell carcinoma	Two human OSCC cell lines SCC-9 and CAL-27	RT-qPCR,Western blot,etc.
miR-7-5p	Homo sapiens (human)	cervical cancer	HPV18-positive HeLa (obtained from the tumor bank of the German Cancer Research Center,Heidelberg) and HPV16-positive SiHa cervical carcinoma cells (obtained from the American Tissue Culture Collection,ATCC) 	RT-qPCR,etc.
miR-92a-3p	Homo sapiens (human)	cervical cancer	HPV18-positive HeLa (obtained from the tumor bank of the German Cancer Research Center,Heidelberg) and HPV16-positive SiHa cervical carcinoma cells (obtained from the American Tissue Culture Collection,ATCC) 	RT-qPCR,etc.
miR-21-5p	Homo sapiens (human)	cervical cancer	HPV18-positive HeLa (obtained from the tumor bank of the German Cancer Research Center,Heidelberg) and HPV16-positive SiHa cervical carcinoma cells (obtained from the American Tissue Culture Collection,ATCC) 	RT-qPCR,etc.
miR-99a-5p	Homo sapiens (human)	ovarian cancer	HeyA8 cell line	RT-qPCR,Microarray,Western blot,etc.
miR-145	Homo sapiens (human)	breast cancer	Blood samples from Mexican patients with a confirmed diagnosis of ductal carcinoma;5 patients per breast cancer stage I-IV) and healthy donors	Western blot,RT-qPCR,etc.
miR-155	Homo sapiens (human)	breast cancer	Blood samples from Mexican patients with a confirmed diagnosis of ductal carcinoma;5 patients per breast cancer stage I-IV) and healthy donors	Western blot,RT-qPCR,etc.
miR-382	Homo sapiens (human)	breast cancer	Blood samples from Mexican patients with a confirmed diagnosis of ductal carcinoma;5 patients per breast cancer stage I-IV) and healthy donors	Western blot,RT-qPCR,etc.
miR-20a-5p	Homo sapiens (human)	Malignant Melanoma	healthy individuals (n=16),patients with smoulderingmyeloma (SMM)(n=20) and patients with multiple myeloma (MM) (n=20).	Western blot,etc.
miR-103a-3p	Homo sapiens (human)	Malignant Melanoma	healthy individuals (n=16),patients with smoulderingmyeloma (SMM)(n=20) and patients with multiple myeloma (MM) (n=20).	Western blot,etc.
miR-4505	Homo sapiens (human)	Malignant Melanoma	healthy individuals (n=16),patients with smoulderingmyeloma (SMM)(n=20) and patients with multiple myeloma (MM) (n=20).	Western blot,etc.
microRNA-29a	Homo sapiens (human)	glioblastoma	The primary glioblastoma cell line P3 	RT-qPCR,Western blot,Luciferase assay,etc.
hsa-miR-205-5p	Homo sapiens (human)	cholangiocarcinoma	KKU-100 and KKU-M213 cell lines	Western blot,RT-qPCR,etc.
miR-200	Homo sapiens (human)	cholangiocarcinoma	KKU-100 and KKU-M213 cell lines	Western blot,RT-qPCR,etc.
miR-199	Homo sapiens (human)	cholangiocarcinoma	KKU-100 and KKU-M213 cell lines	Western blot,RT-qPCR,etc.
hsa-miR-214-3p	Homo sapiens (human)	cholangiocarcinoma	KKU-100 and KKU-M213 cell lines	Western blot,RT-qPCR,etc.
miR-27b-3p	Homo sapiens (human)	esophageal cancer	Tissue samples from esophageal cancer and correspondingnormal tissues 	RT-qPCR,etc.
miR-22-3p	Homo sapiens (human)	esophageal cancer	Tissue samples from esophageal cancer and correspondingnormal tissues 	RT-qPCR,etc.
miR-222	Homo sapiens (human)	breast cancer	low-invasive BCa MCF-7,high-invasive triple-negative BCa (TNBCa) MDA-MB-231and normal breast epithelial MCF-10A	RT-qPCR,Western blot,etc.
miR-182	Homo sapiens (human)	lung cancer	Pleural effusion samples (n=56:Ad-MPE,n=41; BPE,n=15)	qPR-PCR,Western blot,etc.
miR-210	Homo sapiens (human)	lung cancer	Pleural effusion samples (n=56:Ad-MPE,n=41; BPE,n=15)	qPR-PCR,Western blot,etc.
miR-17-5p	Homo sapiens (human)	lung cancer	A total of 172 NSCLC patients (131 cases of adenocarcinoma and 41cases of squamous cell carcinoma)	RT-qPCR,Western blot,etc.
miR-21-5p	Homo sapiens (human)	lung cancer	here were 10 males and13 females among the 23AC patients.	Western blot,RT-qPCR,etc.
miR-126-3p	Homo sapiens (human)	lung cancer	here were 10 males and13 females among the 23AC patients.	Western blot,RT-qPCR,etc.
miR-140-5p	Homo sapiens (human)	lung cancer	here were 10 males and13 females among the 23AC patients.	Western blot,RT-qPCR,etc.
miR-214	Homo sapiens (human)	lung cancer	The EGFR mutant non small cell lung cancer cell line PC-9	Western blot,RT-qPCR,etc.
miR-10b	Homo sapiens (human)	colorectal cancer	The CRC cell line HCT116,normal human fibroblasts CRL1554 and293T cells	RT-qPCR,Luciferase assay,Western blot,etc.
miR-584-5p	Homo sapiens (human)	colon cancer	Cells from the HCT116 human colon carci-noma-derived cell line	Western blot,etc.
miR-1202	Homo sapiens (human)	colon cancer	Cells from the HCT116 human colon carci-noma-derived cell line	Western blot,etc.
miR-3162-5p	Homo sapiens (human)	colon cancer	Cells from the HCT116 human colon carci-noma-derived cell line	Western blot,etc.
let-7a-5p	Homo sapiens (human)	lung cancer	One hundred fifty-four subjects,including 54 pneumoconi-osis patients and 100 healthy control	qPT-PCR,etc.
hsa-miR-214-3p	Homo sapiens (human)	Malignant Melanoma	5(ATCC,Manassas,VA,USA) which was cultured in DMEM(Sigma-Aldrich,St. Louis,MO,USA),MML-1 (CLS,Eppel-heim,Germany) which was cultured in RPMI-1640 (Sigma-Aldrich) and SK-MEL-28 (ATCC) 	Western blot,etc.
hsa-miR-199a-3p	Homo sapiens (human)	Malignant Melanoma	5(ATCC,Manassas,VA,USA) which was cultured in DMEM(Sigma-Aldrich,St. Louis,MO,USA),MML-1 (CLS,Eppel-heim,Germany) which was cultured in RPMI-1640 (Sigma-Aldrich) and SK-MEL-28 (ATCC) 	Western blot,etc.
hsa-miR-155-5p	Homo sapiens (human)	Malignant Melanoma	5(ATCC,Manassas,VA,USA) which was cultured in DMEM(Sigma-Aldrich,St. Louis,MO,USA),MML-1 (CLS,Eppel-heim,Germany) which was cultured in RPMI-1640 (Sigma-Aldrich) and SK-MEL-28 (ATCC) 	Western blot,etc.
miR-21	Homo sapiens (human)	esophageal cancer	The human esophageal cancer cell line EC9706	RT-qPCR,Luciferase assay,etc.
miR-10b-5p	Homo sapiens (human)	lung cancer	Patients with NSCLC newly diagnosed histologically ,Blood (10ml) was collected for each patient. 	RT-qPCR,etc.
miR-21-5p	Homo sapiens (human)	lung cancer	Patients with NSCLC newly diagnosed histologically ,Blood (10ml) was collected for each patient. 	RT-qPCR,etc.
miR-23b-3p	Homo sapiens (human)	lung cancer	Patients with NSCLC newly diagnosed histologically ,Blood (10ml) was collected for each patient. 	RT-qPCR,etc.
miR-155-5p	Homo sapiens (human)	intracranial aneurysm 	A total of 26 IA specimens were collected from patients (15 males and 11 females,aged 45 -66 years,with ameanageof56.06 ± 6.23 years);SMCs in logarithmic growth.	RT-qPCR,Western blot,Luciferase assay,etc.
miR-26a	Homo sapiens (human)	prostate cancer	The relative expression levels of miR-26a of human proximal tub-ular cell line (HK-2) and 7 types of prostate carcinoma cell lines (ACHN,LNCAP,A-498,Caki-1,PC-3,769-P,and 786-O	RT-qPCR,Western blot,etc.
miR-423-5p	Homo sapiens (human)	gastric cancer	Human gastric cancer cell lines SGC-7901,HGC-27,AGS,MKN-45,human gastric mucosal epithelial cells GES-1,and embryonic kidney cells 293T	RT-qPCR,Western blot,etc.
miR-21	Homo sapiens (human)	colorectal cancer	extracting primary fibroblasts from colorectal tissue specimens;DLD1,SW480,SW620 and HCT116 colorectal adeno-carcinoma and MRC5 fetal lung fibroblast cells .	RT-qPCR,Western blot,etc.
miR-1228	Homo sapiens (human)	osteosarcoma	The human osteosarcomacell lines MG-63and HOS	Western blot,RT-qPCR,etc.
